Relationship,Text
targets,"Since at least 2017,  <e1> MuddyWater </e1> has targeted a range of government and private organizations across sectors, including telecommunications, local government, defense, and oil and natural  <e2> gas </e2> organizations, in the Middle East, Asia, Africa, Europe, and North America."
targets,"<e1> menuPass </e1> has targeted healthcare, defense, aerospace, finance, maritime, biotechnology,  <e2> energy </e2>  and government sectors globally, with an emphasis on Japanese organizations."
targets,"<e1> WIRTE </e1> has targeted government, diplomatic,  <e2> financial </e2>  military, legal, and technology organizations in the Middle East and Europe."
uses,Brute Ratel C4 is a commercial  <e1> red-teaming </e1>  <e2> Brute Ratel C4 </e2> is a commercial red-teaming and adversarial attack simulation tool that first appeared in December 2020.
uses,BADFLICK is a backdoor used by  <e1> Leviathan </e1>  <e2> BADFLICK </e2> is a backdoor used by Leviathan in spearphishing campaigns first reported in 2018 that targeted the U.
actived-on,"<e1> Kimsuky </e1> is a North Korea-based cyber espionage group that has been active since at least  <e2> 2012 </e2>  The group initially focused on targeting South Korean government entities, think tanks, and individuals identified as experts in various fields, and expanded its operations to include the United States, Russia, Europe, and the UN."
targets,"In 2018, the US indicted five GRU Unit 26165 officers associated with  <e1> APT28 </e1> for cyber operations (including close-access operations) conducted between 2014 and 2018 against the  <e2> World Anti-Doping Agency (WADA) </e2>  the US Anti-Doping Agency, a US nuclear facility, the Organization for the Prohibition of Chemical Weapons (OPCW), the Spiez Swiss Chemicals Laboratory, and other organizations."
targets,"AppleJeus has been used by  <e1> Lazarus Group </e1>  targeting companies in the energy, finance,  <e2> government </e2>  industry, technology, and telecommunications sectors, and several countries including the United States, United Kingdom, South Korea, Australia, Brazil, New Zealand, and Russia."
compromises,"<e1> APT28 </e1> reportedly compromised the  <e2> Hillary Clinton </e2> campaign, the Democratic National Committee, and the Democratic Congressional Campaign Committee in 2016 in an attempt to interfere with the U."
belongs-to,"By 2015, the Operation Dust Storm threat actors shifted from government and defense-related intelligence targets to Japanese companies or Japanese subdivisions of larger foreign organizations supporting Japan's  <e1> critical infrastructure </e1>  including electricity generation,  <e2> oil </e2> and natural gas, finance, transportation, and construction."
targets,"<e1> HEXANE </e1> is a cyber espionage threat group that has targeted oil & gas, telecommunications, aviation, and internet service provider organizations since at least 2017. Targeted companies have been located in the Middle East and Africa, including  <e2> Israel </e2>  Saudi Arabia, Kuwait, Morocco, and Tunisia."
targets,"<e1> TA459 </e1> is a threat group believed to operate out of China that has targeted countries including Russia, Belarus,  <e2> Mongolia </e2>  and others."
hosts,<e1> Bouncing Golf </e1> is a  <e2> cyberespionage </e2> campaign targeting Middle Eastern countries.
targets,Quebec Liberal Party and Education Ministry websites take down in massive <e1>  Cyber Attack </e1>  <e2> Education Ministry websites </e2> take down in massive Cyber AttackTwo provincial government websites as well as Quebec Liberal Party and Education Ministry websites went down early Saturday morning and remained inaccessible for most of the day.
targets,"<e1> APT19 </e1> is a Chinese-based threat group that has targeted a variety of industries, including defense, finance, energy, pharmaceutical, telecommunications,  <e2> high tech </e2>  education, manufacturing, and legal services."
located-at,"Today 100's of Indian Government,  <e1> Education </e1>  <e2> India </e2>  Government, Education and Corporate websites was also Hacked By ZCompany Hacking Crew."
targets,"<e1> TA2541 </e1> is a cybercriminal group that has been targeting the aviation,  <e2> aerospace </e2>  transportation, manufacturing, and defense industries since at least 2017."
located-at,"Andariel is considered a sub-set of Lazarus Group, and has been attributed to North Korea's  <e1> Reconnaissance General Bureau </e1>  <e2> North Korea </e2> s Reconnaissance General Bureau."
originates-from,<e1> Sidewinder </e1> is a suspected  <e2> Indian </e2> threat actor group that has been active since at least 2012.
hosts,<e1> MuddyWater </e1> is a  <e2> cyber espionage </e2> group assessed to be a subordinate element within Iran's Ministry of Intelligence and Security (MOIS).
targets,"<e1> Cobalt Group </e1> has mainly targeted banks in Eastern Europe,  <e2> Central Asia </e2>  and Southeast Asia."
targets,"Active since at least May 2020,  <e1> Aquatic Panda </e1> has primarily targeted entities in the  <e2> telecommunication </e2> , technology, and government sectors."
located-at,"The group has targeted multiple industries and  <e1> governmental entities </e1> primarily in  <e2> Russia </e2>  but has also been active in the United States and throughout Europe, Asia, Africa, and the Middle East."
located-at,"AppleSeed is a backdoor that has been used by Kimsuky to target South Korean government, academic, and  <e1> commercial </e1>  <e2> South Korean </e2> government, academic, and commercial targets since at least 2021."
targets,<e1> GCMAN </e1> is a threat group that focuses on targeting  <e2> banks </e2> for the purpose of transferring money to e-currency services.
uses,"Since 2020,  <e1> FIN7 </e1> shifted operations to a big game hunting (BGH) approach including use of REvil ransomware and their own Ransomware as a Service (RaaS),  <e2> Darkside </e2>  FIN7 may be linked to the Carbanak Group, but there appears to be several groups using Carbanak malware and are therefore tracked separately."
located-at,"BLINDINGCAN is a remote access Trojan that has been used by the North Korean government since at least early 2020 in cyber operations against defense,  <e1> engineering </e1>  and government organizations in Western Europe and the  <e2> US </e2>."
compromises,"The suspected  <e1> China-based actor </e1>  compromised government organizations and managed service providers, as well as aviation, construction, energy, finance, health care, insurance, offshore engineering,  <e2> software development </e2>  and transportation companies."
compromises,"BlackTech has used a combination of  <e1> custom malware </e1>  dual-use tools, and living off the land tactics to compromise media, construction,  <e2> engineering </e2>  electronics, and financial company networks."
associated-with,<e1> Carbanak </e1> may be linked to groups tracked separately as Cobalt Group and  <e2> FIN7 </e2> that have also used Carbanak malware.
attributed-to,"The  <e1> SolarWinds Compromise </e1> was a sophisticated supply chain cyber operation conducted by APT29 that was discovered in mid-December 2020. Industry reporting initially referred to the actors involved in this campaign as UNC2452, NOBELIUM, StellarParticle, Dark Halo, and  <e2> SolarStorm </e2> 
In April 2021, the US and UK governments attributed the SolarWinds Compromise to Russia's Foreign Intelligence Service (SVR); public statements included citations to APT29, Cozy Bear, and The Dukes."
targets,"<e1> Tonto </e1> Team has targeted government,  <e2> military </e2>  energy, mining, financial, education, healthcare, and technology organizations, including through the Heartbeat Campaign (2009-2012) and Operation Bitter Biscuit (2017)."
located-at,"This is a case of cyber-attack as someone sent pornographic material to all schools after hacking the e-mail,  <e1> Sukhwinder Kaur </e1>  Deputy District Education Director (WD),  <e2> Hoshiarpur </e2>  told IANS."
actived-on,"<e1> BlackTech </e1> is a suspected Chinese cyber espionage group that has primarily targeted organizations in East Asia--particularly Taiwan, Japan, and Hong Kong--and the US since at least  <e2> 2013 </e2>  BlackTech has used a combination of custom malware, dual-use tools, and living off the land tactics to compromise media, construction, engineering, electronics, and financial company networks."
associated-with,"<e1> APT37 </e1> has also been linked to the following campaigns between 2016-2018: Operation Daybreak, Operation Erebus, Golden Time,  <e2> Evil New Year </e2>  Are you Happy?, FreeMilk, North Korean Human Rights, and Evil New Year 2018."
associated-with,"North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the name  <e1> Lazarus Group </e1>  <e2> North Korean </e2> state-sponsored cyber activity under the name Lazarus Group instead of tracking clusters or subgroups."
targets,"<e1> Higaisa </e1> has targeted government, public, and  <e2> trade </e2> organizations in North Korea; however, they have also carried out attacks in China, Japan, Russia, Poland, and other nations."
uses,<e1> Bread </e1> was a large-scale billing fraud malware family known for employing many different cloaking and  <e2> obfuscation </e2> techniques in an attempt to continuously evade Google Play Store’s malware detection.
similar-to,"The intrusion into healthcare company Anthem has been attributed to  <e1> Deep Panda </e1>  This group is also known as Shell Crew, WebMasters, KungFu Kittens, and PinkPanther. <e2> Deep Panda </e2> also appears to be known as Black Vine based on the attribution of both group names to the Anthem intrusion."
targets,"<e1> APT12 </e1> is a threat group that has been attributed to China. The group has targeted a variety of victims including but not limited to media outlets, high-tech companies, and  <e2> multiple governments </e2>."
located-at,"Since at least 2017, MuddyWater has targeted a range of government and private organizations across sectors, including telecommunications, local government, defense, and  <e1> oil </e1> and natural gas organizations, in the Middle East, Asia, Africa, Europe, and  <e2> North America </e2>."
targets,"The  <e1> BlackEnergy </e1> malware is continuing to hit targets in Poland,  <e2> Ukraine </e2> and Belgium, as a new ?Lite? version of the malware has been detected."
uses,"The operators of  <e1> Babuk </e1> employ a "" <e2> Big Game Hunting </e2>  approach to targeting major enterprises and operate a leak site to post stolen data as part of their extortion scheme."
located-at,"They have been observed targeting government, military, and  <e1> business </e1> entities throughout Asia, primarily focusing on  <e2> Pakistan </e2>  China, Nepal, and Afghanistan."
targets,"<e1> APT39 </e1> has primarily targeted the travel, hospitality,  <e2> academic </e2>  and telecommunications industries in Iran and across Asia, Africa, Europe, and North America to track individuals and entities considered to be a threat by the MOIS."
targets,"<e1> APT37 </e1> is a North Korean state-sponsored cyber espionage group that has been active since at least 2012. The group has targeted victims primarily in South Korea, but also in Japan, Vietnam, Russia, Nepal,  <e2> China </e2>  India, Romania, Kuwait, and other parts of the Middle East."
targets,"<e1> Night Dragon </e1> was a cyber espionage campaign that targeted oil, energy, and petrochemical companies, along with individuals and executives in  <e2> Kazakhstan </e2>  Taiwan, Greece, and the United States."
belongs-to,<e1> Amadey </e1> is a  <e2> Trojan bot </e2> that has been used since at least October 2018.
targets,"AppleJeus has been used by  <e1> Lazarus Group </e1>  targeting companies in the energy, finance, government, industry, technology, and telecommunications sectors, and several countries including the  <e2> United State </e2> , United Kingdom, South Korea, Australia, Brazil, New Zealand, and Russia."
hosts,<e1> Earth Lusca </e1> is a suspected China-based  <e2> cyber espionage </e2> group that has been active since at least April 2019.
uses,"<e1> TA505 </e1> is known for frequently changing malware, driving global trends in criminal malware distribution, and ransomware campaigns involving  <e2> Clop </e2>."
uses,Carbanak may be linked to groups tracked separately as Cobalt Group and  <e1> FIN7 </e1> that have also used  <e2> Carbanak </e2> malware.
originates-from,<e1> Earth Lusca </e1> is a suspected  <e2> China </e2> based cyber espionage group that has been active since at least April 2019.
originates-from,"<e1> Nomadic Octopus </e1> is a  <e2> Russian </e2> speaking cyber espionage threat group that has primarily targeted Central Asia, including local governments, diplomatic missions, and individuals, since at least 2014."
targets,"<e1> Magic Hound </e1> is an Iranian-sponsored threat group that conducts long term, resource-intensive cyber espionage operations, likely on behalf of the Islamic Revolutionary Guard Corps. , and Middle Eastern government and military personnel, academics,  <e2> journalists </e2>  and organizations such as the World Health Organization (WHO), via complex social engineering campaigns since at least 2014."
targets,"<e1> Deep Panda </e1> is a suspected Chinese threat group known to target many industries, including government, defense,  <e2> financial </e2>  and telecommunications."
targets,<e1> BADFLICK </e1> is a backdoor used by Leviathan in spearphishing campaigns first reported in 2018 that targeted the  <e2> U. engineering </e2> and maritime industries.
located-at,"LuminousMoth has targeted high-profile organizations, including  <e1> government </e1> entities, in  <e2> Myanmar </e2>  the Philippines, Thailand, and other parts of Southeast Asia."
associated-with,<e1> BoxCaon </e1> s name stems from similarities shared with the malware family  <e2> xCaon </e2>.
located-at,"BackdoorDiplomacy has targeted Ministries of Foreign Affairs and  <e1> telecommunication </e1> companies in  <e2> Africa </e2>  Europe, the Middle East, and Asia."
originates-from,"<e1> Patchwork </e1> is a cyber espionage group that was first observed in December 2015. While the group has not been definitively attributed, circumstantial evidence suggests the group may be a pro-Indian or  <e2> Indian </e2> entity."
targets,"<e1> BITTER </e1> has primarily targeted government, energy, and  <e2> engineering </e2> organizations in Pakistan, China, Bangladesh, and Saudi Arabia."
targets,The group has been active since at least 2009 and was reportedly responsible for the November 2014  <e1> destructive wiper attack </e1> against  <e2> Sony Pictures Entertainment </e2> as part of a campaign named Operation Blockbuster by Novetta.
actived-on,"<e1> LuminousMoth </e1> is a Chinese-speaking cyber espionage group that has been active since at least  <e2> October 2020 </e2>  LuminousMoth has targeted high-profile organizations, including government entities, in Myanmar, the Philippines, Thailand, and other parts of Southeast Asia."
targets,"<e1> APT18 </e1> is a threat group that has operated since at least 2009 and has targeted a range of industries, including technology, manufacturing, human rights groups, government, and  <e2> medical </e2>."
targets,<e1> Patchwork </e1> was also seen operating spearphishing campaigns targeting  <e2> U. think tank groups </e2> in March and April of 2018.
associated-with,"<e1> APT37 </e1> has also been linked to the following campaigns between 2016-2018: Operation Daybreak, Operation Erebus, Golden Time, Evil New Year,  <e2> Are you Happy? </e2>  FreeMilk, North Korean Human Rights, and Evil New Year 2018."
controls,"1/1SkipAdContinue watchingafter the adVisit Advertiser websiteGO TO PAGEPLAYTop StoriesVideo SettingsFull ScreenAbout ConnatixV255047Read MoreRead MoreRead MoreRead MoreRead MoreRead MoreApple fixes recently disclosed zero-days onolder iPhones and iPadsFrom there,  <e1> Conti </e1> could access the  <e2> flash memory </e2> that hosted UEFI/BIOS firmware, bypass write protections, and perform arbitrary code execution on the compromised system."
targets,"<e1> Mustang Panda </e1> has targeted government entities, nonprofits, religious, and other non-governmental organizations in the U. ,  <e2> Europe </e2>  Mongolia, Myanmar, Pakistan, and Vietnam, among others."
actived-on,"<e1> TA551 </e1> is a financially-motivated threat group that has been active since at least  <e2> 2018 </e2>  The group has primarily targeted English, German, Italian, and Japanese speakers through email-based malware distribution campaigns."
targets,"<e1> Metador </e1> has targeted a limited number of telecommunication companies, internet service providers, and universities in the  <e2> Middle East </e2> and Africa."
attributed-to,Deep Panda also appears to be known as Black Vine based on the attribution of both group names to the  <e1> Anthem intrusion </e1>  <e2> Black Vine </e2> based on the attribution of both group names to the Anthem intrusion.
targets,"<e1> Javali </e1> is a banking trojan that has targeted Portuguese and  <e2> Spanish </e2> speaking countries since 2017, primarily focusing on customers of financial institutions in Brazil and Mexico."
targets,Saudi Arabia?s central bank has reportedly been hit with the destructive disk-wiping malware called  <e1> Shamoon </e1> that affected multiple  <e2> government </e2> entities? computer networks over the past two weeks.
targets,"<e1> Javali </e1> is a banking trojan that has targeted Portuguese and Spanish-speaking countries since 2017, primarily focusing on customers of financial institutions in Brazil and  <e2> Mexico </e2>."
targets,"<e1> Earth Lusca </e1> has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the  <e2> Philippines </e2>  Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States."
attributed-to,<e1> InvisiMole </e1> is a modular spyware program that has been used by the  <e2> InvisiMole </e2> Group since at least 2013.
targets,"Active since at least 2014,  <e1> APT38 </e1> has targeted banks, financial institutions, casinos,  <e2> cryptocurrency exchange </e2> , SWIFT system endpoints, and ATMs in at least 38 countries worldwide."
located-at,"Transparent Tribe is a suspected Pakistan-based threat group that has been active since at least 2013, primarily targeting diplomatic, defense, and  <e1> research </e1> organizations in  <e2> India </e2> and Afghanistan."
targets,"<e1> WIRTE </e1> has targeted  <e2> government </e2>  diplomatic, financial, military, legal, and technology organizations in the Middle East and Europe."
targets,<e1> Bad Rabbit </e1> has also targeted organizations and consumers in  <e2> Russia </e2>.
similar-to,"APT1 is a Chinese threat group that has been attributed to the  <e1> 2nd Bureau of the People’s Liberation Army (PLA) General Staff Department’s (GSD) 3rd Department, </e1> commonly known by its  <e2> Military Unit Cover Designator (MUCD) </e2> as Unit 61398."
located-at,"Hoshiarpur : In an incident that has left teachers in schools in  <e1> Hoshiarpur </e1> district of <e2>  Punjab </e2> face red, the official email address of the school board here has been pirated and pornographic material was distributed to 400 public schools in the district."
targets,"Active since at least 2009,  <e1> Leviathan </e1> has targeted the following sectors: academia, aerospace/ <e2> aviation </e2>  biomedical, defense industrial base, government, healthcare, manufacturing, maritime, and transportation across the US, Canada, Europe, the Middle East, and Southeast Asia."
variant-of,It has been modified by Threat Group-3390 actors to create the  <e1> ASPXTool </e1>  <e2> ASPXSpy </e2> is a Web shell.
uses,"<e1> Indrik Spider </e1> initially started with the Dridex banking Trojan, and then by 2017 they began running  <e2> ransomware </e2> operations using BitPaymer, WastedLocker, and Hades ransomware."
belongs-to,<e2> InvisiMole </e2> has two backdoor modules called  <e1> RC2FM </e1> and RC2CL that are used to perform post-exploitation activities.
targets,"<e1> Metador </e1> has targeted a limited number of  <e2> telecommunication </e2> companies, internet service providers, and universities in the Middle East and Africa."
targets,"The  <e1> SolarWinds Compromise </e1> was a sophisticated supply chain cyber operation conducted by APT29 that was discovered in mid-December 2020. Victims of this campaign included government, consulting, technology, telecom, and other organizations in  <e2> North America </e2>  Europe, Asia, and the Middle East."
targets,"<e1> WIRTE </e1> has targeted government, diplomatic, financial, military, legal, and technology organizations in the Middle East and  <e2> Europe </e2>."
targets,<e1> BOOTRASH </e1> is a Bootkit that targets  <e2> Windows operating system </e2>.
actived-on,<e1> ZxxZ </e1> is a trojan written in Visual C++ that has been used by BITTER since at least  <e2> August 2021 </e2>  including against Bangladeshi government personnel.
targets,"<e1> LAPSUS$ </e1> is cyber criminal threat group that has been active since at least mid-2021. The group has targeted organizations globally, including in the government, manufacturing,  <e2> higher education </e2>  energy, healthcare, technology, telecommunications, and media sectors."
targets,"By 2015, the  <e1> Operation Dust Storm threat actors </e1> shifted from government and defense-related intelligence targets to Japanese companies or Japanese subdivisions of larger foreign organizations supporting Japan's critical infrastructure, including electricity generation,  <e2> oil </e2> and natural gas, finance, transportation, and construction."
targets,"<e1> Tonto </e1> Team has targeted government, military, energy, mining, financial,  <e2> education </e2>  healthcare, and technology organizations, including through the Heartbeat Campaign (2009-2012) and Operation Bitter Biscuit (2017)."
actived-on,"<e1> Zebrocy </e1> is a Trojan that has been used by APT28 since at least  <e2> November 2015 </e2>  The malware comes in several programming language variants, including C++, Delphi, AutoIt, C#, VB."
targets,"<e1> Aoqin Dragon </e1> has primarily targeted government, education, and  <e2> telecommunication </e2> organizations in Australia, Cambodia, Hong Kong, Singapore, and Vietnam."
uses,"<e1> Turla </e1> is known for conducting watering hole and spearphishing campaigns, and leveraging in-house tools and malware, such as  <e2> Uroburos </e2>."
targets,"<e1> APT37 </e1> is a North Korean state-sponsored cyber espionage group that has been active since at least 2012. The group has targeted victims primarily in South Korea, but also in Japan,  <e2> Vietnam </e2>  Russia, Nepal, China, India, Romania, Kuwait, and other parts of the Middle East."
targets,"A group of hackers identifying itself as "" <e1> Ghost Shell </e1>  said that he has leaked some 120,000 pieces of information from 100 universities across the globe including  <e2> Harvard University </e2> and the University of Cambridge."
targets,<e1> Cobalt Group </e1> is a financially motivated threat group that has primarily targeted  <e2> financial </e2> institutions since at least 2016.
targets,"<e1> admin@338 </e1> is a China-based cyber threat group. It has previously used newsworthy events as lures to deliver malware and has primarily targeted organizations involved in financial, economic, and <e2>  trade policy </e2>  typically using publicly available RATs such as PoisonIvy, as well as some non-public backdoors."
targets,"<e1> Stealth Falcon </e1> is a threat group that has conducted targeted spyware attacks against  <e2> Emirati journalists </e2>  activists, and dissidents since at least 2012."
targets,"<e1> Stealth Falcon </e1> is a threat group that has conducted targeted spyware attacks against Emirati journalists, activists, and  <e2> dissidents </e2> since at least 2012."
located-at,"Aoqin Dragon has primarily targeted government,  <e1> education </e1>  and telecommunication organizations in Australia, Cambodia, Hong Kong, Singapore, and  <e2> Vietnam </e2>  Security researchers noted a potential association between Aoqin Dragon and UNC94, based on malware, infrastructure, and targets."
attributed-to,Wizard Spider is a Russia-based financially motivated threat group originally known for the creation and deployment of  <e1> TrickBot </e1>  <e2> Wizard Spider </e2> is a Russia-based financially motivated threat group originally known for the creation and deployment of TrickBot since at least 2016.
located-at,"Ke3chang has targeted  <e1> oil </e1>  government, diplomatic, military, and NGOs in Central and South America, the  <e2> Caribbean </e2>  Europe, and North America since at least 2010."
targets,<e1> Moses Staff </e1> is a suspected Iranian threat group that has primarily targeted  <e2> Israeli companies </e2> since at least September 2021.
located-at,"Sowbug is a threat group that has conducted targeted attacks against organizations in South America and Southeast Asia, particularly  <e1> government </e1>  <e2> Southeast Asia </e2>  particularly government entities, since at least 2015."
targets,"As of March 2022,  <e1> AvosLocker </e1> had also been used against organizations in Belgium, Canada, China, Germany, Saudi Arabia, Spain,  <e2> Syria </e2>  Taiwan, Turkey, the United Arab Emirates, and the United Kingdom."
targets,"<e1> AppleSeed </e1> is a backdoor that has been used by Kimsuky to target South Korean government, academic, and  <e2> commercial </e2> targets since at least 2021."
targets,"<e1> APT17 </e1> is a China-based threat group that has conducted network intrusions against U. government entities, the defense industry, law firms,  <e2> information technology companies </e2>  mining companies, and non-government organizations."
uses,"AppleJeus has been used by  <e1> Lazarus Group </e1>  <e2> AppleJeus </e2> has been used by Lazarus Group, targeting companies in the energy, finance, government, industry, technology, and telecommunications sectors, and several countries including the United States, United Kingdom, South Korea, Australia, Brazil, New Zealand, and Russia."
actived-on,"<e1> Strider </e1> is a threat group that has been active since at least  <e2> 2011 </e2> and has targeted victims in Russia, China, Sweden, Belgium, Iran, and Rwanda."
attributed-to,"The  <e1> SolarWinds Compromise </e1> was a sophisticated supply chain cyber operation conducted by APT29 that was discovered in mid-December 2020. Industry reporting initially referred to the actors involved in this campaign as  <e2> UNC2452 </e2>  NOBELIUM, StellarParticle, Dark Halo, and SolarStorm."
targets,"<e1> BRONZE BUTLER </e1> is a cyber espionage group with likely Chinese origins that has been active since at least 2008. The group primarily targets  <e2> Japanese organization </e2> , particularly those in government, biotechnology, electronics manufacturing, and industrial chemistry."
attributed-to,<e1> Volt Typhoon </e1> is a  <e2> People's Republic of China (PRC) </e2> state-sponsored actor that has been active since at least 2021.
uses,"<e1> Operation Sharpshooter </e1> was a global cyber espionage campaign that targeted nuclear, defense, government, energy, and financial companies, with many located in Germany, Turkey, the United Kingdom, and the United States. Security researchers noted the campaign shared many similarities with previous Lazarus Group operations, including fake job recruitment lures and  <e2> shared malware code </e2>."
uses,"<e1> DragonOK </e1> is a threat group that has targeted Japanese organizations with phishing emails. It is known to use a variety of malware, including Sysget/ <e2> HelloBridge </e2>  PlugX, PoisonIvy, FormerFirstRat, NFlog, and NewCT."
located-at,"xCaon has been used to target  <e1> political entities </e1> in Central Asia, including  <e2> Kyrgyzstan </e2> and Uzbekistan."
targets,"German authorities last week disclosed that a  <e1> ransomware attack </e1> on the University Hospital of Düsseldorf (UKD) caused a failure of IT systems, resulting in the death of a woman who had to be sent to another hospital that was 20 miles away. The incident marks the first recorded casualty as a consequence of cyberattacks on  <e2> critical healthcare facilities </e2>  which has ramped up in recent months."
originates-from,<e1> BlackOasis </e1> is a  <e2> Middle Eastern </e2> threat group that is believed to be a customer of Gamma Group.
located-at,"In April 2021, the US and UK  <e1> government </e1>  <e2> US </e2> and UK governments attributed the SolarWinds Compromise to the SVR; public statements included citations to APT29, Cozy Bear, and The Dukes."
located-at,xCaon has been used to target  <e1> political entities </e1> in  <e2> Central Asia </e2>  including Kyrgyzstan and Uzbekistan.
targets,"<e1> Turla </e1> is a cyber espionage threat group that has been attributed to Russia's Federal Security Service (FSB). They have compromised victims in over 50 countries since at least 2004, spanning a range of industries including government, embassies, military, education,  <e2> research </e2> and pharmaceutical companies."
targets,"In June 2021, security researchers detected  <e1> FIN8 </e1> switching from targeting  <e2> point-of-sale (POS) devices </e2> to distributing a number of ransomware variants."
targets,"<e1> LAPSUS$ </e1> is cyber criminal threat group that has been active since at least mid-2021. The group has targeted organizations globally, including in the  <e2> government </e2>  manufacturing, higher education, energy, healthcare, technology, telecommunications, and media sectors."
attributed-to,"<e1> APT3 </e1> is a China-based threat group that researchers have attributed to  <e2> China's Ministry of State Security </e2>  This group is responsible for the campaigns known as Operation Clandestine Fox, Operation Clandestine Wolf, and Operation Double Tap."
targets,"Security researchers assess  <e1> Moses Staff </e1> is politically motivated, and has targeted  <e2> government </e2>  finance, travel, energy, manufacturing, and utility companies outside of Israel as well, including those in Italy, India, Germany, Chile, Turkey, the UAE, and the US."
located-at,"Higaisa has targeted  <e1> government </e1>  public, and trade organizations in  <e2> North Korea </e2>  however, they have also carried out attacks in China, Japan, Russia, Poland, and other nations."
targets,""" <e1> H4ksniper </e1>  hacker claiming responsibility for disrupting three  <e2> South African government websites </e2>  This morning after hack, website of The social development department opened to a black page with a window containing the animated graphic ""Website hacked by H4ksniper""."
located-at,"POLONIUM is a Lebanon-based group that has primarily targeted Israeli organizations, including  <e1> critical manufacturing </e1>  <e2> Israeli </e2> organizations, including critical manufacturing, information technology, and defense industry companies, since at least February 2022."
targets,<e1> DragonOK </e1> is a threat group that has targeted  <e2> Japanese organization </e2>  with phishing emails.
targets,"<e1> WIRTE </e1> has targeted government, diplomatic, financial, military, legal, and technology organizations in the  <e2> Middle East </e2> and Europe."
associated-with,"North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the name  <e1> Lazarus Group </e1>  <e2> North Korean </e2> state-sponsored cyber activity under the name Lazarus Group instead of tracking clusters or subgroups."
targets,"<e1> Silence </e1> is a financially motivated threat actor targeting financial institutions in different countries. Their main targets reside in Russia, Ukraine,  <e2> Belarus </e2>  Azerbaijan, Poland and Kazakhstan."
hosts,<e1> Patchwork </e1> is a  <e2> cyber espionage </e2> group that was first observed in December 2015.
actived-on,<e1> Aria-body </e1> is a custom backdoor that has been used by Naikon since approximately  <e2> 2017 </e2>.
targets,"<e1> Higaisa </e1> has targeted government,  <e2> public </e2>  and trade organizations in North Korea; however, they have also carried out attacks in China, Japan, Russia, Poland, and other nations."
attributed-to,"Hydraq is a data-theft trojan first used by Elderwood in the  <e1> 2009 Google intrusion </e1>  <e2> Elderwood </e2> in the 2009 Google intrusion known as Operation Aurora, though variations of this trojan have been used in more recent campaigns by other Chinese actors, possibly including APT17."
similar-to,"This group is also known as  <e1> Shell Crew </e1>   <e2> WebMasters </e2>  KungFu Kittens, and PinkPanther."
belongs-to,"North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the name Lazarus Group instead of tracking clusters or subgroups, such as  <e1> Andariel </e1>  <e2> Lazarus Group </e2> instead of tracking clusters or subgroups, such as Andariel, APT37, APT38, and Kimsuky."
originates-from,<e1> admin@338 </e1> is a <e2>  China </e2> based cyber threat group.
located-at,Saudi Arabia?s  <e1> central bank </e1>  <e2> Saudi Arabia </e2> s central bank has reportedly been hit with the destructive disk-wiping malware called Shamoon that affected multiple government entities? computer networks over the past two weeks.
targets,"<e1> Night Dragon </e1> was a cyber espionage campaign that targeted oil, energy, and petrochemical companies, along with individuals and executives in Kazakhstan,  <e2> Taiwan </e2>  Greece, and the United States."
hosts,"<e1> Turla </e1> is known for conducting watering hole and  <e2> spearphishing campaigns </e2>  and leveraging in-house tools and malware, such as Uroburos."
uses,BackConfig is a custom Trojan with a flexible plugin architecture that has been used by  <e1> Patchwork </e1>  <e2> BackConfig </e2> is a custom Trojan with a flexible plugin architecture that has been used by Patchwork.
targets,"Since at least 2017,  <e1> MuddyWater </e1> has targeted a range of government and private organizations across sectors, including telecommunications, local government, defense, and oil and natural gas organizations, in the  <e2> Middle East </e2>  Asia, Africa, Europe, and North America."
targets,"<e1> Fox Kitten </e1> has targeted multiple industrial verticals including oil and gas, technology, government, defense,  <e2> healthcare </e2>  manufacturing, and engineering."
located-at,"Since at least 2017, MuddyWater has targeted a range of government and private organizations across sectors, including telecommunications, local government, defense, and  <e1> oil </e1> and natural gas organizations, in the  <e2> Middle East </e2>  Asia, Africa, Europe, and North America."
targets,"<e1> XLoader </e1> for Android is a malicious Android app first observed targeting Japan, Korea, China,  <e2> Taiwan </e2>  and Hong Kong in 2018."
located-at,"Thrip is an espionage group that has targeted satellite communications, telecoms, and  <e1> defense contractor companies </e1> in the  <e2> U. </e2> and Southeast Asia."
targets,"Security researchers assess  <e1> Moses Staff </e1> is politically motivated, and has targeted government,  <e2> finance </e2>  travel, energy, manufacturing, and utility companies outside of Israel as well, including those in Italy, India, Germany, Chile, Turkey, the UAE, and the US."
hosts,"<e1> APT3 </e1> is a China-based threat group that researchers have attributed to China's Ministry of State Security. This group is responsible for the campaigns known as  <e2> Operation Clandestine Fox </e2>  Operation Clandestine Wolf, and Operation Double Tap."
targets,"<e1> APT39 </e1> has primarily targeted the travel, hospitality, academic, and telecommunications industries in Iran and across Asia, Africa,  <e2> Europe </e2>  and North America to track individuals and entities considered to be a threat by the MOIS."
